Name,Title2,ProDetail,KnowledgeType,Topic,Summary,Priority,Category,CATE_CODE,Audio,CN,EN,Author,Source
Talking from 9 to 5,Women and Men at Work,PartialReading,,Communication,0,0,Self-development,SDP,,,P,Deborah Tannen,
公司财务和治理机制,,PartialReading,Hard-knowledge,Company Finance,0,1,Business & Economics & Management,BEM,,P,NA,,Self-Search
Asking the right questions,学会提问,RoughReading,Hard-knowledge,Critical Thinking-Ask Question,0,1,Self-development,SDP,Audio,P,NO,Neil Browne,
Power Questions,提问的艺术,RoughReading,Fastfood-knowledge,Critical Thinking-Ask Question,0,1,Self-development,SDP,Audio,P,NA,Andrew Sobel & Jerold Panas,
请用数据说话,,HaveNotRead,Fastfood-knowledge,Critical Thinking-Data,0,1,Data Science,DAT,Audio,E,NA,,
Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,,RoughReading,,Critical Thinking-Decision,,,Self-development,SDP,,,P,Annie Duke,
Farsighted: How We Make the Decisions That Matter the Most,,PartialReading,,Critical Thinking-Decision,,,Self-development,SDP,,,P,Steven Johnson,
Against the Gods,The Remarkable Story of Risk,,,Critical Thinking-Decision,,,Philosophy and Psychology,PHY,,,P,Peter L. Bernstein,
Meltdown,Why Our Systems Fail and What We Can Do About It,,,Critical Thinking-Decision,,,Philosophy and Psychology,PHY,,,P,Chris Clearfield,
策略思维,,PartialReading,Hard-knowledge,Critical Thinking-Decision,0,0,Business & Economics & Management,BEM,,P,P,,
金钱不能买什么,,RoughReading,Fastfood-knowledge,Critical Thinking-ethical inquisition,0,1,Society and Culture,SOC,Audio,NA,P,,
Truth: How the Many Sides to Every Story Shape Our Reality,,PartialReading,,Critical Thinking-Information,,,Self-development,SDP,,,P,Hector Macdonald,
Intuition Pumps And Other Tools for Thinking,,PartialReading,,Critical Thinking-Logic,,,Philosophy and Psychology,PHY,,,P,Daniel Dennett,
理性乐观派(The Rational Optimist),,RoughReading,Hard-knowledge,Critical Thinking-Rational,0,1,Society and Culture,SOC,Audio,P,NA,Matt Ridley,
Algorithms to Live By,,RoughReading,Hard-knowledge,Critical Thinking-Rational,,,Self-development,SDP,Audio,P,NA,Brian Christian & Tom Griffiths,
清醒思考的艺术（The Art of Thinking Clearly ）,,ThroughReading,Hard-knowledge,Critical Thinking-Rational,0,1,Self-development,SDP,Audio,P,NA,Rolf Dobelli,
为什么常识会撒谎(The Big Questions),,RoughReading,Hard-knowledge,Critical Thinking-Rational,0,1,Philosophy and Psychology,PPY,Audio,NA,P,,
Thinking Fast and Slow,,ThroughReading,Meta-Knowledge,Critical Thinking-Rational,0,1,Philosophy and Psychology,PPY,Audio,P,NA,Daniel Kahneman,
How to read a book,如何阅读一本书,ThroughReading,Meta-Knowledge,Critical Thinking-Reading,0,1,Self-development,SDP,Audio,P,NA,Mortimer J. Adler,
Fooled by Randomness,随机漫步的傻瓜,HaveNotRead,Hard-knowledge,Critical Thinking-Uncertainty,0,1,Philosophy and Psychology,PPY,Audio,P,NA,Nassim Nicholas Taleb,DeDao
The Black Swan,黑天鹅,RoughReading,Hard-knowledge,Critical Thinking-Uncertainty,0,1,Philosophy and Psychology,PPY,Audio,P,NA,Nassim Nicholas Taleb,DeDao
Superforecasting,超预测,RoughReading,Hard-knowledge,Critical Thinking-Uncertainty,,,Philosophy and Psychology,PPY,Audio,P,,Philip E. Tetlock & Dan Gardner,DeDao
Risk Savvy,风险与好的决策,RoughReading,Hard-knowledge,Critical Thinking-Uncertainty,,,Philosophy and Psychology,PPY,Audio,P,,Gerd Gigerenzer,
How Women Decide,女性如何做决定,RoughReading,Hard-knowledge,Critical Thinking-Uncertainty,,,Philosophy and Psychology,PPY,Audio,P,,Therese Huston,
Antifragile,反脆弱,ThroughReading,Hard-knowledge,Critical Thinking-Uncertainty,0,1,Philosophy and Psychology,PPY,Audio,P,NA,Nassim Nicholas Taleb,DeDao
最小阻力之路,,HaveNotRead,Fastfood-knowledge,Develop good habit,0,1,Self-development,SDP,Audio,P,NA,,
知道做到,,RoughReading,Fastfood-knowledge,Develop good habit,0,1,Self-development,SDP,Audio,E,P,,
瞬变,,RoughReading,Fastfood-knowledge,Develop good habit,0,1,Self-development,SDP,Audio,P,NO,,
Self-Directed Behavior,自我导向行为,RoughReading,Fastfood-knowledge,Develop good habit,1,2,Self-development,SDP,Audio,P,NO,David L.Watson & Roland G. Tharp,
整合,Connected by Design,RoughReading,Fastfood-knowledge,Digital Transformation,0,1,Business & Economics & Management,BEM,Audio,P,NA,Barry Wacksman & Chris Stutzman,
增长的本质,,RoughReading,Fastfood-knowledge,Economics ,0,1,Self-development,SDP,Audio,P,NA,,
Animal spirits,,RoughReading,Hard-knowledge,Economics ,0,0,Business & Economics & Management,BEM,,P,,George A.Akedof and Robert J.Shiller,
Fishing for Phools,钓愚,RoughReading,Hard-knowledge,Economics ,,,Business & Economics & Management,BEM,,P,,George A.Akedof and Robert J.Shiller,
魔鬼经济学,,RoughReading,Fastfood-knowledge,Economics in life,0,1,Business & Economics & Management,BEM,Audio,P,NA,,
The Wealth of Nation,国富论,ThroughReading,Meta-Knowledge,Economics-Classic,0,1,Business & Economics & Management,BEM,Audio,P,NA,Adam Smith,
探索古文明系列 —— 木乃伊,,ThroughReading,,Egyptian History,0,0,History,HTY,,P,NA,,
木乃伊：法老时代的生与死,,ThroughReading,,Egyptian History,0,0,History,HTY,,P,NA,覃东,
情绪急救,,RoughReading,Fastfood-knowledge,Emotion Management,0,1,Self-development,SDP,Audio,NA,P,,
How To Keep People From Pushing Your Buttons,我的情绪为何总被他人左右,RoughReading,Fastfood-knowledge,Emotion Management,,,Self-development,SDP,Audio,P,,Albert Ellis,
Feeling Good,The New Mood Therapy (伯恩斯新情绪疗法),RoughReading,Fastfood-knowledge,Emotion Management,,,Self-development,SDP,Audio,P,,David D. Burns,
The Emotional Life of Your Brain,大脑的情绪生活,RoughReading,Fastfood-knowledge,Emotion Management,,,Self-development,SDP,Audio,P,,Richard J. Davidson,
抗压力,,RoughReading,Fastfood-knowledge,Emotion Management,0,1,Self-development,SDP,Audio,P,NO,,
The Disease To Please,取悦症,RoughReading,Hard-knowledge,Emotion Management,,,Philosophy and Psychology,PHY,Audio,,,Harriet B. Braiker,
Our Inner Conflicts,内心冲突,RoughReading,Hard-knowledge,Emotion Management,,,Philosophy and Psychology,PHY,Audio,,,Karen Horney,
The Neurotic Personality of Our Time,我们时代的神经症人格,RoughReading,Hard-knowledge,Emotion Management,,,Philosophy and Psychology,PHY,Audio,,,Karen Horney,
Your Survival Instinct Is Killing You,你的生存本能正在杀死你,RoughReading,Hard-knowledge,Evolutionary psychology,0,1,Philosophy and Psychology,PPY,Audio,E,P,Marc Schoen & Kristin Loberg ,
The Selfish Gene,自私的基因,PartialReading,Hard-knowledge,Evolutionary psychology,0,1,Biology,BIO,,P,NA,Richard Dawkins,
Sperm Wars,精子战争,PartialReading,Hard-knowledge,Evolutionary psychology,0,1,Biology,BIO,,P,NA,,
神似祖先,,PartialReading,Hard-knowledge,Evolutionary psychology,0,1,Biology,BIO,,P,NA,郑也夫,
关键时刻,,RoughReading,Fastfood-knowledge,Executive force,0,1,Business & Economics & Management,BEM,Audio,P,NO,,
All the Single Ladies,Unmarried Women and the Rise of an Independent Nation,PartialReading,,Feminism,,,Society and Culture,SOC,,,P,Rebecca Traister,
Writing a woman’s life,,RoughReading,,Feminism,,,Other,OTH,,P,,Carolyn Heilbrun,
The Old Regime and the French Revolution ,,RoughReading,Hard-knowledge,French Revolution,0,1,Philosophy and Psychology,PPY,Audio,NA,P,Alexis de Tocqueville,
Whiplash,,PartialReading,Hard-knowledge,Future,,1,Society and Culture,SOC,,,,Joi Ito & Jeff Howe,
Homo Deus：A Brief History of Tomorrow,,RoughReading,Hard-knowledge,Future,0,1,Society and Culture,SOC,Audio,P,NO,Yuval Noah Harari,
The Inevitable,,RoughReading,Hard-knowledge,Future,0,1,Society and Culture,SOC,Audio,P,,Kevin Kelly,
Reset,My Fight for Inclusion and Lasting Change,PartialReading,,Gender Discrimination,,,Society and Culture,SOC,,,P,Ellen Pao,
《大国崛起》德国,,ThroughReading,,German History,0,0,History,HTY,,P,NA,,
The age of the unthinkable (不可思议的年代),,HaveNotRead,,Global Order,0,0,Society and Culture,SOC,,NA,P,Joshua Ramo,
Connectography ,,RoughReading,,Global Order,,,Society and Culture,SOC,,,,Parag Khanna,
The British Industrial Revolution in Global Perspective (近代英国工业革命揭秘),,HaveNotRead,Hard-knowledge,History of Britain,,,History,HTY,,,,,
耶路撒冷三千年,,RoughReading,Hard-knowledge,History of religions,0,1,History,HTY,Audio,P,NA,,
我们如何走到今天,,RoughReading,Fact-knowledge,History of technology,0,1,History,SOC,Audio,P,NO,,
海都物语,,RoughReading,Fact-knowledge,History of Venice,0,1,History,HTY,Audio,P,NA,,
The Glass Cage,玻璃笼子,RoughReading,Fastfood-knowledge,How technology is changing us?,0,1,Society and Culture,SOC,Audio,NO,NO,Nicholas Carr,
Peak,刻意练习,RoughReading,Fastfood-knowledge,How to be an expert?,0,1,Self-development,SDP,Audio,P,NA,,
Outliers,异类,ThroughReading,Fastfood-knowledge,How to be an expert?,0,0,Self-development,SDP,Audio,P,NA,Malcolm Gladwell,
创新者,,HaveNotRead,Fastfood-knowledge,How to innovate?,0,1,Self-development,SDP,Audio,P,NO,,
创新者的思考,,HaveNotRead,Fastfood-knowledge,How to innovate?,0,0,Self-development,SDP,Audio,NA,P,大前研一,
The Innovator's Dilemma,创新者的窘境,PartialReading,Hard-knowledge,How to innovate?,0,0,Self-development,SDP,Audio,NA,P, C M Christensen,
The Ten Faces of Innovation,决定未来的十种人,RoughReading,Fastfood-knowledge,How to innovate?,0,1,Self-development,SDP,Audio,NA,P,Tom Kelley and Jonathan Littman,
Made to Stick,让创意具有黏性,RoughReading,Fastfood-knowledge,How to innovate?,,,Self-development,SDP,Audio,,,Chip Heath &  Dan Heath,
思考线,Red Thread Thinking,RoughReading,Fastfood-knowledge,How to innovate?,0,1,Self-development,SDP,Audio,NO,NO,Debra Kaye,
全新思维,,RoughReading,Fastfood-knowledge,How to innovate?,0,1,Self-development,SDP,Audio,E,NA,,
The Ways to New,颠覆式创新,RoughReading,Fastfood-knowledge,How to innovate?,0,1,Self-development,SDP,Audio,P,NA,Jean-Marie Dru,
Originals,离经叛道,RoughReading,Fastfood-knowledge,How to innovate?,,,Self-development,SDP,Audio,,,Adam Grant ,
Inside the Box,微创新,RoughReading,Fastfood-knowledge,How to innovate?,,,Self-development,SDP,Audio,,,Drew Boyd and Jacob Goldenberg,
Wired to Create,Unraveling the Mysteries of the Creative Mind (异想天开),RoughReading,Fastfood-knowledge,How to innovate?,1,1,Self-development,SDP,Audio,,,Scott Barry Kaufman & Carolyn Gregoire,
The Telomere Effect,"A Revolutionary Approach to Living Younger, Healthier, Longer",PartialReading,,How to live longer,,,Biology,BIO,,,P,"Blackburn, Dr. Elizabeth",
Smartcuts,出奇制胜,RoughReading,Fastfood-knowledge,How to succeed?,,,Self-development,SDP,Audio,,,Shane Snow,
沃顿商学院最受欢迎的成功课,,RoughReading,Fastfood-knowledge,How to succeed?,,,Self-development,SDP,Audio,,,Adam Grant ,
Seeing the Forest for the Trees,系统思考,RoughReading,Fastfood-knowledge,How to use your brain?,,,Self-development,SDP,Audio,,,Dennis Sherwood,
思考的技术,,RoughReading,Fastfood-knowledge,How to use your brain?,,,Self-development,SDP,Audio,,,大前研一,
决策的艺术,,RoughReading,Fastfood-knowledge,How to use your brain?,,,Self-development,SDP,Audio,,,"Smart Choices, Ralph L. Keeney,  and Howard Raiffa",
慢思考,Brainchains discover your brain and unleash its full potential in a hyperconnected multitasking world,RoughReading,Fastfood-knowledge,How to use your brain?,0,1,Self-development,SDP,Audio,P,NA,,
Trying not to try,无为,RoughReading,Hard-knowledge,How to use your brain?,0,1,Self-development,SDP,Audio,E,NA,,
Spark,,PartialReading,Meta-Knowledge,How to use your brain?,,1,Philosophy and Psychology,PPY,,P,NA,John Ratey and Eric Hagerman,
The Human Advantage,最强大脑,RoughReading,Hard-knowledge,How to use your brain?,0,1,Philosophy and Psychology,PPY,Audio,NO,NO,Suzana Herculano-Houzel,
心思大开,Mind Wide Open,RoughReading,Hard-knowledge,How to use your brain?,0,1,Philosophy and Psychology,PPY,Audio,P,NO,,
How to Create a Mind,The Secret of Human Thought Revealed,PartialReading,Hard-knowledge,How to use your brain?,0,1,Other,OTH,,P,NA,"Kurzweil, Ray",
这样和世界相处,,RoughReading,Hard-knowledge,Individual psychology,0,1,Philosophy and Psychology,PPY,Audio,E,P,Alfred Adler,
The Courage to Be Disliked,,ThroughReading,,Individual Psychology: Adlerian psychology,,,Philosophy and Psychology,PHY,,P,,"Ichiro Kishimi, Fumitake Koga",
The Smarter Screen,,ThroughReading,Hard-knowledge,Information age and human attention,0,1,Philosophy and Psychology,PPY,Audio,NO,P,Shlomo Benartzi with Johnah Lehrer,
菊与刀,The Chrysanthemum and the Sword,RoughReading,Hard-knowledge,Japanese Culture,0,1,Society and Culture,SOC,Audio,NO,P,Ruth Benedict,
精进,,RoughReading,Hard-knowledge,Learn how to learn,,,Self-development,SDP,,,,采铜,
How we learn,如何学习,RoughReading,Hard-knowledge,Learn how to learn,,,Self-development,SDP,,,,Benedict Carey,
暗时间,,ThroughReading,Hard-knowledge,Learn how to learn,,,Self-development,SDP,,,,,
德鲁克管理思想精要,The Essential Drucker ,RoughReading,Hard-knowledge,Management,,,Business & Economics & Management,BEM,,,,Peter Drucker,
反直觉询问,,HaveNotRead,Fastfood-knowledge,Marketing,0,1,Self-development,SDP,Audio,E,P,,
长尾理论,,PartialReading,Hard-knowledge,Marketing,0,0,Business & Economics & Management,BEM,,p,NA,,
Free,,PartialReading,Hard-knowledge,Marketing,0,0,Business & Economics & Management,BEM,Audio,,NO,,
Blockbuster(爆款),,RoughReading,Hard-knowledge,Marketing,,,Business & Economics & Management,BEM,Audio,P,,Anita Elberse,
商业的本质,,HaveNotRead,Hard-knowledge,Marketing Management,0,0,Business & Economics & Management,BEM,,,,,
Marketing Management,,PartialReading,Meta-Knowledge,Marketing Management,0,1,Business & Economics & Management,BEM,,P,NA,Kotler and Keller,
场景革命,,PartialReading,Fastfood-knowledge,Marketing Management,0,0,Business & Economics & Management,BEM,,,NA,吴声,
Why We Buy: The Science of Shopping (顾客为什么购买),,RoughReading,Fastfood-knowledge,Marketing-Ad,,,Business & Economics & Management,BEM,Audio,,,Paco Underhill,
Seducing the Subconscious (我们在为什么样的广告买单),,RoughReading,Fastfood-knowledge,Marketing-Ad,,,Business & Economics & Management,BEM,Audio,P,,Robert Heath,
相约星期二(Tuesdays with Morrie),,RoughReading,Hard-knowledge,Meaning of life,0,1,Self-development,SDP,Audio,P,NA,Morrie,
走到人生的边上,,RoughReading,Hard-knowledge,Meaning of life,0,1,Self-development,SDP,Audio,P,NA,Yang Jiang,
How Will You Measure Your Life?,你要如何衡量你的人生,RoughReading,Hard-knowledge,Meaning of life,,,Self-development,SDP,Audio,,,"Clayton M. Christensen, James Allworth, and Karen Dillon",
A Woman Among Warlords,The Extraordinary Story of an Afghan Who Dared to Raise Her Voice,PartialReading,,Mideast: Afghan,,,Society and Culture,SOC,,,P,Malalai Joya,
The Favored Daughter,One Woman's Fight to Lead Afghanistan into the Future,PartialReading,,Mideast: Afghan,,,Society and Culture,SOC,,,P,Fawzia Koofi,
Listen to Music,,HaveNotRead,Hard-knowledge,Music Appreciation,0,1,Art,ART,,P,NA,Craig Wright,
Getting More,沃顿商学院最受欢迎的谈判课,PartialReading,Fastfood-knowledge,Negotiation or persuasion,0,0,Self-development,SDP,,P,NA,Stuart Diamond,
细节：如何轻松影响他人,,RoughReading,Fastfood-knowledge,Negotiation or persuasion,0,1,Self-development,SDP,Audio,P,NO,,
洗脑术,,RoughReading,Fastfood-knowledge,Negotiation or persuasion,0,1,Self-development,SDP,Audio,P,NO,,
谈判思考的技术,,RoughReading,Fastfood-knowledge,Negotiation or persuasion,,,Self-development,SDP,Audio,,,泷本哲史,
Everything Is Negotiable,谈判是什么,RoughReading,Fastfood-knowledge,Negotiation or persuasion,,,Self-development,SDP,Audio,P,,Gavin Kennedy,
Negotiating the Impossible,哈佛商学院谈判课,RoughReading,Fastfood-knowledge,Negotiation or persuasion,,,Self-development,SDP,Audio,,,Deepak Malhotra,
影响力,Influence,ThroughReading,Fastfood-knowledge,Negotiation or persuasion,0,0,Self-development,SDP,,NO,P,Robert B Cialdini,
洗脑术,怎样有逻辑地说服他人,ThroughReading,Fastfood-knowledge,Negotiation or persuasion,0,1,Philosophy and Psychology,PPY,Audio,P,NA,高德,
品牌洗脑,Brand Washed,ThroughReading,Fastfood-knowledge,Negotiation or persuasion,0,0,Business & Economics & Management,BEM,,P,P,Martin Lindstrom,
上帝掷骰子吗？,,HaveNotRead,Hard-knowledge,Origin of the universe,0,0,Physics,PHY,,,,,
隐藏的现实：平行宇宙是什么？,,HaveNotRead,Hard-knowledge,Origin of the universe,0,0,Physics,PHY,,,,,
大设计,,RoughReading,Hard-knowledge,Origin of the universe,0,1,Physics,PHY,Audio,P,NA,,
时间的形状,,RoughReading,Hard-knowledge,Origin of the universe,0,0,Physics,PHY,,,,,
智慧书,,ThroughReading,Hard-knowledge,Philosophy of life,0,1,Philosophy and Psychology,PPY,Audio,P,NA,,
沉思录,,ThroughReading,Hard-knowledge,Philosophy of life,0,1,Philosophy and Psychology,PPY,Audio,P,NA,,
Power,权力为什么只为某些人所拥有,RoughReading,Hard-knowledge,Power,,,Politics,POL,Audio,,,Jeffrey Pfeffer,
The Prince(君主论),,ThroughReading,Hard-knowledge,Power,0,0,Politics,POL,,P,NO,Niccolò Machiavelli,
It Wasn't Your Fault (这不是你的错),,RoughReading,Hard-knowledge,Psychic Trauma,,,Philosophy and Psychology,PHY,Audio,,,Beverly Engel LMFT,
Interpretation of Dreams,,PartialReading,Meta-Knowledge,Psychoanalysis,0,1,Philosophy and Psychology,PPY,Audio,P,NA,Sigismund Sholomo Freud,
Animal Spirits(动物精神),,RoughReading,Hard-knowledge,Psychological forces under global financial crisis,1,0,Society and Culture,SOC,,,,,
输赢心理学(Top Dog),,RoughReading,Hard-knowledge,Psychology,0,1,Philosophy and Psychology,PPY,Audio,P,NA,,
乐观的偏见(The Optimism Bias),,ThroughReading,Hard-knowledge,Psychology,0,0,Philosophy and Psychology,PPY,,P,NA,Tali Sharot,
不靠谱的心理学(Psychobabble),,ThroughReading,Hard-knowledge,Psychology,0,0,Philosophy and Psychology,PPY,,P,NA,Stephen Briers,
"The Memory Illusion: Remembering, Forgetting, and the Science of False Memory",,PartialReading,,Psychology,,,Philosophy and Psychology,PHY,,,P,Julia Shaw,
7 Secrets of Persuasion,Leading-Edge Neuromarketing Techniques to Influence Anyone,PartialReading,,Psychology,,,Philosophy and Psychology,PHY,,,P,James Crimmins,
Behave,The Biology of Humans at Our Best and Worst,PartialReading,,Psychology,,,Philosophy and Psychology,PHY,,,P,Robert M. Sapolsky,
The life cycle completed: A review,,,,Psychology,,,Philosophy and Psychology,PHY,,,P,Erik Erikson,
Why Buddhism is True,The Science and Philosophy of Meditation and Enlightenment,PartialReading,,Psychology,,,Philosophy and Psychology,PHY,,,P,Robert Wright,
演说之禅,,HaveNotRead,,Public Speaking,0,0,Self-development,SDP,,,,,
演讲的力量,TED Talks: The Official TED Guide to Public Speaking,RoughReading,Fastfood-knowledge,Public Speaking,0,1,Self-development,SDP,Audio,P,NO,,
Hillary's English-speaking World,,PartialReading,,Public Speaking,0,0,Other,OTH,,P,NA,,
美国白宫千年晚会演讲选集 ,,PartialReading,,Public Speaking,0,0,Other,OTH,,E,NO,,
The 5 Money Personalities,谈钱不伤感情,RoughReading,Fastfood-knowledge,Relationship,0,1,Self-development,SDP,Audio,P,NA,,
Intimate Relationship,亲密关系,ThroughReading,Meta-Knowledge,Relationship,0,1,Philosophy and Psychology,PPY,Audio,P,NA,Rowland S Miller and Daniel Perlman,
Why Him? Why Her?,Finding Real Love By Understanding Your Personality Type,PartialReading,,Relationship,,,Philosophy and Psychology,PHY,,,P,Helen Fisher,
Anatomy of Love,"A Natural History of Mating, Marriage, and Why We Stray",,,Relationship,,,Philosophy and Psychology,PHY,,,P,Helen Fisher,
"Data, A Love Story",How I Gamed Online Dating to Meet My Match,,,Relationship,,,Other,OTH,,,P,"Webb, Amy",
完全出轨手册,,ThroughReading,,Relationship,0,0,Gender,GND,,P,NA,,
享受单身,,ThroughReading,,Relationship,0,0,Gender,GND,,P,NO,,
滚床单心理学,,ThroughReading,,Relationship,0,0,Gender,GND,,P,NO,,
迎男而上,,ThroughReading,,Relationship,0,0,Gender,GND,,P,NA,燕公子,
《大国崛起》 俄罗斯 ,,ThroughReading,,Russian History,0,0,History,HTY,,P,NA,,
快节奏，慢生活(Mindful Tech),,RoughReading,Fastfood-knowledge,Self management,0,1,Self-development,SDP,Audio,P,NA,David M. Levy,
逆转,,RoughReading,Fastfood-knowledge,Self management,0,1,Self-development,SDP,Audio,NO,P,Malcolm Gladwell,
高绩效教练,,RoughReading,Fastfood-knowledge,Self management,0,1,Self-development,SDP,Audio,P,NO,,
The 7 habits of highly effective people (高效能人士的7个习惯),,RoughReading,Fastfood-knowledge,Self management,,,Self-development,SDP,Audio,P,,Stephen Covey,
The 3rd Alternative (第3种选择),,RoughReading,Fastfood-knowledge,Self management,,,Self-development,SDP,Audio,P,,Stephen Covey,
